insert into outlets (outlet_id, outlet_name, outlet_location, outlet_state, outlet_phone) values ('SMPP01', 'Sheep Me Queensbay Mall', 'Bayan Lepas', 'Pulau Pinang', '0122054718');
insert into outlets (outlet_id, outlet_name, outlet_location, outlet_state, outlet_phone) values ('SMPP02', 'Sheep Me Gurney Plaza', 'Persiaran Gurney', 'Pulau Pinang', '0124087112');
insert into outlets (outlet_id, outlet_name, outlet_location, outlet_state, outlet_phone) values ('SMPP03', 'Sheep Me Sunway Carnival Mall', 'Seberang Jaya', 'Pulau Pinang', '0124508732');
insert into outlets (outlet_id, outlet_name, outlet_location, outlet_state, outlet_phone) values ('SMPP04', 'Sheep Me Vantage Point', 'Jelutong', 'Pulau Pinang', '0129731540');
insert into outlets (outlet_id, outlet_name, outlet_location, outlet_state, outlet_phone) values ('SMPP05', 'Sheep Me Komtar Walk', 'George Town', 'Pulau Pinang', '0127854711');
insert into outlets (outlet_id, outlet_name, outlet_location, outlet_state, outlet_phone) values ('SMKL01', 'Sheep Me 1 Utama Shopping Centre', 'Petaling Jaya', 'Kuala Lumpur', '0114117520');
insert into outlets (outlet_id, outlet_name, outlet_location, outlet_state, outlet_phone) values ('SMKL02', 'Sheep Me Pavilion Bukit Jalil', 'Persiaran Jalil Utama', 'Kuala Lumpur', '0112084177');
insert into outlets (outlet_id, outlet_name, outlet_location, outlet_state, outlet_phone) values ('SMKL03', 'Sheep Me The Exchange TRX', 'Persiaran TRX', 'Kuala Lumpur', '0113074518');
insert into outlets (outlet_id, outlet_name, outlet_location, outlet_state, outlet_phone) values ('SMKL04', 'Sheep Me Suria KLCC', 'Persiaran Petronas', 'Kuala Lumpur', '0115042233');
insert into outlets (outlet_id, outlet_name, outlet_location, outlet_state, outlet_phone) values ('SMKL05', 'Sheep Me Berjaya Times Square', 'Bukit Bintang', 'Kuala Lumpur', '0116902014');
insert into outlets (outlet_id, outlet_name, outlet_location, outlet_state, outlet_phone) values ('SMKL06', 'Sheep Me KL Eco City Mall', 'Eco City', 'Kuala Lumpur', '0118872036');
insert into outlets (outlet_id, outlet_name, outlet_location, outlet_state, outlet_phone) values ('SMKL07', 'Sheep Me Mid Valley Megamall', 'Midvalley City', 'Kuala Lumpur', '0113310874');
insert into outlets (outlet_id, outlet_name, outlet_location, outlet_state, outlet_phone) values ('SMML01', 'Sheep Me One Krubong', 'Taman Satu Krubong', 'Melaka', '0152014700');
insert into outlets (outlet_id, outlet_name, outlet_location, outlet_state, outlet_phone) values ('SMML02', 'Sheep Me Freeport AFamosa Outlet', 'Alor Gajah', 'Melaka', '0154756120');
insert into outlets (outlet_id, outlet_name, outlet_location, outlet_state, outlet_phone) values ('SMML03', 'Sheep Me MITC Melaka', 'Ayer Keroh', 'Melaka', '0153690200');
insert into outlets (outlet_id, outlet_name, outlet_location, outlet_state, outlet_phone) values ('SMJB01', 'Sheep Me Wetex Parade', 'Muar', 'Johor Bahru', '0149841147');
insert into outlets (outlet_id, outlet_name, outlet_location, outlet_state, outlet_phone) values ('SMJB02', 'Sheep Me Sutera Mall', 'Skudai', 'Johor Bahru', '0147804122');
insert into outlets (outlet_id, outlet_name, outlet_location, outlet_state, outlet_phone) values ('SMJB03', 'Sheep Me Batu Pahat Mall', 'Batu Pahat', 'Johor Bahru', '0142201366');
insert into outlets (outlet_id, outlet_name, outlet_location, outlet_state, outlet_phone) values ('SMJB04', 'Sheep Me Lotus Kluang', 'Daerah Kluang', 'Johor Bahru', '0142384177');
insert into outlets (outlet_id, outlet_name, outlet_location, outlet_state, outlet_phone) values ('SMJB05', 'Sheep Me Johor Premium Outlet', 'Kulai', 'Johor Bahru', '0148620130');
insert into outlets (outlet_id, outlet_name, outlet_location, outlet_state, outlet_phone) values ('SMPH01', 'Sheep Me Cameron Centrum', 'Brinchang', 'Pahang', '0168041230');
insert into outlets (outlet_id, outlet_name, outlet_location, outlet_state, outlet_phone) values ('SMPH02', 'Sheep Me East Coast Mall', 'Kuantan', 'Pahang', '0166900422');
insert into outlets (outlet_id, outlet_name, outlet_location, outlet_state, outlet_phone) values ('SMPH03', 'Sheep Me Genting First World', 'Genting Highlands', 'Pahang', '0162892036');
insert into outlets (outlet_id, outlet_name, outlet_location, outlet_state, outlet_phone) values ('SMPH04', 'Sheep Me Bandar Mentakab', 'Mentakab', 'Pahang', '0160520874');
insert into outlets (outlet_id, outlet_name, outlet_location, outlet_state, outlet_phone) values ('SMPH05', 'Sheep Me Sky Avenue', 'Genting Highlands', 'Pahang', '0169312788');
